Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  122    218.67      4.09      2      2     236.09      17.42      240.18      21.51
  124    225.94      4.59      2      2     240.18      14.24      244.77      18.83
  117    211.53      12.74      0      0     241.07      29.53      253.80      42.27
  115    209.58      8.12      1      1     243.73      34.15      251.84      42.26
  126    237.20      5.15      2      2     244.77      7.57      249.93      12.73
  127    238.03      1.40      2      2     249.93      11.90      251.33      13.30
  130    242.54      6.79      2      2     251.33      8.79      258.12      15.57
  118    214.27      9.72      1      1     251.84      37.58      261.56      47.30
  120    215.54      3.90      0      0     253.80      38.26      257.70      42.16
  125    233.90      16.91      0      0     257.70      23.80      274.62      40.72
  134    247.66      6.39      2      2     258.12      10.45      264.51      16.85
  123    219.50      1.55      1      1     261.56      42.06      263.11      43.61
  133    245.66      0.53      1      1     263.11      17.45      263.65      17.99
  138    254.16      3.12      1      1     263.65      9.49      266.77      12.61
  136    250.80      2.11      2      2     264.51      13.70      266.62      15.82
  139    254.89      1.83      2      2     266.62      11.73      268.45      13.55
  143    264.55      5.96      1      1     266.77      2.22      272.73      8.18
  142    258.25      1.87      2      2     268.45      10.19      270.32      12.07
  145    268.96      10.97      2      2     270.32      1.36      281.29      12.33
  144    264.97      5.44      1      1     272.73      7.76      278.17      13.19
  128    238.19      8.50      0      0     274.62      36.43      283.12      44.93
  146    269.55      1.89      1      1     278.17      8.62      280.06      10.51
  148    273.68      31.72      1      1     280.06      6.38      311.78      38.09
  147    272.30      5.74      2      2     281.29      9.00      287.03      14.73
  131    242.94      0.65      0      0     283.12      40.18      283.76      40.83
  140    255.76      2.14      0      0     283.76      28.00      285.90      30.14
